_id,median_max_forward,median_max_reverse,plc,time
63204d9f24b2e737c9901578,-1,-1,2,2022-09-13T17:30:07.000Z
63204da024b2e737c990157a,-1,-1,4,2022-09-13T17:30:08.000Z
63204da024b2e737c990157c,-1,-1,5,2022-09-13T17:30:08.000Z
63204da024b2e737c990157e,-1,-1,7,2022-09-13T17:30:08.000Z
63204da124b2e737c9901580,24.6,15,9,2022-09-13T17:30:08.000Z
63204da224b2e737c9901582,-1,-1,17,2022-09-13T17:30:09.000Z
63204da324b2e737c9901584,184.8,161.7,19,2022-09-13T17:30:10.000Z
63204da424b2e737c9901586,148.8,126.9,18,2022-09-13T17:30:11.000Z
63204da424b2e737c9901588,-1,-1,8,2022-09-13T17:30:12.000Z
63204da524b2e737c990158a,-1,-1,14,2022-09-13T17:30:12.000Z
63204da524b2e737c990158c,131.7,109.5,21,2022-09-13T17:30:13.000Z
63204da624b2e737c990158e,-1,-1,22,2022-09-13T17:30:14.000Z
63204da624b2e737c9901590,-1,-1,24,2022-09-13T17:30:14.000Z
63204da624b2e737c9901592,-1,-1,25,2022-09-13T17:30:14.000Z
63204da624b2e737c9901594,-1,-1,28,2022-09-13T17:30:14.000Z
63204da724b2e737c9901596,200,179.6,33,2022-09-13T17:30:14.000Z
63204da824b2e737c9901598,200.4,180.4,32,2022-09-13T17:30:15.000Z
63204da924b2e737c990159a,216,183.2,40,2022-09-13T17:30:16.000Z
63204da924b2e737c990159c,-1,-1,37,2022-09-13T17:30:17.000Z
63204daa24b2e737c990159e,-1,-1,38,2022-09-13T17:30:17.000Z
63204dab24b2e737c99015a0,235.2,193.6,41,2022-09-13T17:30:18.000Z
63204dac24b2e737c99015a2,179.1,155.4,43,2022-09-13T17:30:19.000Z
63204dad24b2e737c99015a4,171.9,147.9,44,2022-09-13T17:30:20.000Z
63204dad24b2e737c99015a6,-1,-1,45,2022-09-13T17:30:21.000Z
63204dad24b2e737c99015a8,-1,-1,46,2022-09-13T17:30:21.000Z
63204dae24b2e737c99015aa,180,156.3,47,2022-09-13T17:30:21.000Z
63204daf24b2e737c99015ac,216,186.3,48,2022-09-13T17:30:22.000Z
63204daf24b2e737c99015ae,-1,-1,50,2022-09-13T17:30:23.000Z
63204daf24b2e737c99015b0,-1,-1,51,2022-09-13T17:30:23.000Z
