,time,plc,restored_flag
0,2022-09-30 00:07:57,2,0
0,2022-09-30 00:07:57,4,0
0,2022-09-30 00:07:57,5,0
0,2022-09-30 00:07:57,7,0
0,2022-09-06 12:42:20,9,0
0,2022-09-30 00:07:57,17,0
0,2022-09-06 12:42:20,19,0
0,2022-09-06 12:42:20,18,0
0,2022-09-30 00:07:57,8,0
0,2022-09-30 00:07:57,14,0
0,2022-09-06 12:42:20,21,0
0,2022-09-30 00:07:57,22,0
0,2022-09-30 00:07:57,24,0
0,2022-09-30 00:07:57,25,0
0,2022-09-30 00:07:57,28,0
0,2022-09-06 12:42:20,33,0
0,2022-09-06 12:42:20,32,0
0,2022-09-15 00:08:14,40,0
0,2022-09-30 00:07:57,37,0
0,2022-09-30 00:07:57,38,0
0,2022-09-06 12:42:20,41,0
0,2022-09-07 12:42:20,43,1
0,2022-09-27 00:07:57,44,1
0,2022-09-30 00:07:57,45,0
0,2022-09-30 00:07:57,46,0
0,2022-09-06 12:42:20,47,0
0,2022-09-06 12:42:20,48,0
0,2022-09-30 00:07:57,50,0
0,2022-09-30 00:07:57,51,0
0,2022-09-06 12:42:20,53,0
0,2022-09-06 12:42:20,54,0
0,2022-09-30 00:07:57,56,0
0,2022-09-30 00:07:57,57,0
0,2022-09-27 00:07:57,59,0
0,2022-09-24 00:07:56,60,0
