,plc,开始时间,结束时间,最大单次充电量,最大单次放电量
0,9,2022-09-06 12:42:20,2022-09-13 12:42:20,87.6,78.6
1,18,2022-09-06 12:42:20,2022-09-13 12:42:20,148.8,126.9
2,19,2022-09-06 12:42:20,2022-09-13 12:42:20,184.8,161.7
3,21,2022-09-06 12:42:20,2022-09-13 12:42:20,131.7,109.5
4,32,2022-09-06 12:42:20,2022-09-13 12:42:20,200.4,180.4
5,33,2022-09-06 12:42:20,2022-09-13 12:42:20,200.0,179.6
6,40,2022-09-15 00:08:14,2022-09-22 00:08:14,215.6,184.0
7,41,2022-09-06 12:42:20,2022-09-13 12:42:20,235.2,193.6
8,43,2022-09-07 12:42:20,2022-09-14 12:42:20,179.1,155.4
9,44,2022-09-07 12:42:20,2022-09-14 12:42:20,171.9,147.9
10,47,2022-09-06 12:42:20,2022-09-13 12:42:20,180.0,156.3
11,48,2022-09-06 12:42:20,2022-09-13 12:42:20,216.0,186.3
12,53,2022-09-06 12:42:20,2022-09-13 12:42:20,232.4,193.2
13,54,2022-09-06 12:42:20,2022-09-13 12:42:20,237.2,194.0
14,59,2022-09-16 14:08:14,2022-09-23 14:08:14,2.0,178.0
15,60,2022-09-16 14:08:14,2022-09-23 14:08:14,212.8,0.0
