,Unnamed: 0,time,Voltage.name,Voltage,Current,Temperature,Time,SOC,SOCBound
0,7,2022-10-11 23:00:42,4组8号电池电压,3.214,0.6,29.55,0,0.0658607072481111,0.042426406871192854
1,455,2022-10-11 23:01:42,4组8号电池电压,3.214,0.6,29.5,60,0.06585842620528033,0.04238527093576483
2,628,2022-10-11 23:02:42,4组8号电池电压,3.213,0.6,29.0,120,0.06582131920097033,0.04234490202189106
3,952,2022-10-11 23:03:42,4组8号电池电压,3.213,0.6,29.5,180,0.06578466474205172,0.04230441911912687
4,976,2022-10-11 23:04:42,4组8号电池电压,3.213,0.6,29.5,240,0.06574811322165097,0.04226425924763393
5,1335,2022-10-11 23:05:42,4组8号电池电压,3.213,0.6,29.5,300,0.06571166348802779,0.04222441898189693
6,1548,2022-10-11 23:06:42,4组8号电池电压,3.213,0.6,29.5,360,0.06567531440595395,0.04218489494911642
7,1692,2022-10-11 23:07:42,4组8号电池电压,3.213,0.6,29.5,420,0.06563906485638964,0.04214568382815569
8,1977,2022-10-11 23:08:42,4组8号电池电压,3.213,0.6,28.95,480,0.06560253169677732,0.042107214376883584
9,2369,2022-10-11 23:09:42,4组8号电池电压,3.213,0.6,28.95,540,0.0655660968676331,0.04206904371220993
10,2551,2022-10-11 23:10:42,4组8号电池电压,3.213,0.6,28.95,600,0.06552975930304598,0.042031168774402425
11,2746,2022-10-11 23:11:42,4组8号电池电压,3.213,0.6,28.9,660,0.06549348346711636,0.04199362341472855
12,3027,2022-10-11 23:12:42,4组8号电池电压,3.213,0.6,28.9,720,0.0654573028960706,0.04195636713330084
13,3337,2022-10-11 23:13:42,4组8号电池电压,3.213,0.6,28.9,780,0.06542121656792607,0.04191939701386834
14,3606,2022-10-11 23:14:42,4组8号电池电压,3.213,0.6,28.9,840,0.0653852234745892,0.04188271018291241
15,3641,2022-10-11 23:15:42,4组8号电池电压,3.213,0.6,28.9,900,0.0653493226215961,0.04184630380883285
16,3952,2022-10-11 23:16:42,4组8号电池电压,3.213,0.6,28.9,960,0.06531351302785919,0.041810175101153264
17,4312,2022-10-11 23:17:42,4组8号电池电压,3.213,0.6,28.85,1020,0.06527775933228253,0.041774353813878756
18,4458,2022-10-11 23:18:42,4组8号电池电压,3.213,0.6,28.85,1080,0.06524209506705207,0.04173880412729446
19,4724,2022-10-11 23:19:42,4组8号电池电压,3.213,0.6,28.85,1140,0.06520651929017726,0.04170352337820056
20,4875,2022-10-11 23:20:42,4组8号电池电压,3.213,0.6,28.8,1200,0.06517099675678316,0.04166853937127182
